ID,Source,Translation,AI_Reference
"OP_ST_DifficultyDesc,RecycleCompensate::2739065140",Recovery failure compensation ratio,,
"OP_ST_DifficultyDesc,CurrentDifficulty::199160842",Current Difficulty:,,
"OP_ST_DifficultyDesc,Defaut_Desc::2171493667","We'll try to use larger containers and increase the power of the base so that we can gather intel from greater distances, but this'll certainly draw the Mechanos' attention.",,
"OP_ST_DifficultyDesc,CharacterCompensate::3432717717",Operative death compensation ratio,,
"OP_ST_InteractiveOptionDesc,ExecuteFailed_PlayerDrone::1552693961",It's blocked and cannot be used.,,
"OP_ST_InteractiveOptionDesc,SB_DamageBoosterUpgrade::3931512051",Adds a Damage Amplifier to Combat Covers.,,
"OP_ST_InteractiveOptionDesc,SB_AmmoUpgrade::2187603724",Adds an Ammo Maker to Combat Covers.,,
"OP_ST_InteractiveOptionDesc,SB_LoaderUpgrade::1592239590",Adds an Autoloader to Combat Covers.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Supporter_Healing::813738931",Equip Repair Turrets on Supporters to enable them to heal nearby allies.,,
"OP_ST_InteractiveOptionDesc,Upgrade_TurretSet_FireControl::2496741538","Turrets now have fire control devices fitted onto them, allowing them to target enemy weaknesses.",,
"OP_ST_InteractiveOptionDesc,OverLoad_Ice::1892495846","Damage -50%, no ammo cost, firing range +50%, effective area +100%. Lasts 20s.",,
"OP_ST_InteractiveOptionDesc,SelfDestroy::1102671948","Causes components to overload and self-destruct, damaging nearby targets for Electro damage.",,
"OP_ST_InteractiveOptionDesc,Upgrade_Cannon_FireControl::4232763715",Allows deployed turrets to lock onto enemy weaknesses.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Cover_DamageBooster::973839489",Installs 3 Damage Amplifiers with increased protection.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Cover_Ammobox::947352162",Installs an additional Ammo Maker.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Cover_Loader::4153475654",Installs an Autoloader with increased protection.,,
"OP_ST_InteractiveOptionDesc,Upgrade_MinningMachine_Effective::245251547",Greatly improves the efficiency of your miners by installing a magnetic acceleration module.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Normal_Defend::4086957574",Reinforce structural weaknesses for greatly improved survivability.,,
"OP_ST_InteractiveOptionDesc,Upgrade_TurretSet_Ice::1608355984",Fits turrets with Cryo Muzzles.,,
"OP_ST_InteractiveOptionDesc,Upgrade_TurretSet_Heavy02::2495840158",Converts turrets into 30mm Twin Barrel Light Guns.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Cannon_Modify::3687658085",Converts Prewar Artillery into 105mm Artillery.,,
"OP_ST_InteractiveOptionDesc,Upgrade_TurretSet_Missile::1689481423",Converts turrets into Smart Mortars.,,
"OP_ST_InteractiveOptionDesc,Upgrade_TurretSet_Fire::4259166007",Fits turrets with Pyro Muzzles.,,
"OP_ST_InteractiveOptionDesc,Upgrade_TurretSet_Heavy01::3085747718",Converts turrets into 30mm Light Guns.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Fence_Attack::2758790067",Reflective Shock damage from Stakewalls is doubled.,,
"OP_ST_InteractiveOptionDesc,NuclearMissile::1545537374",Launch a powerful tactical nuke that causes massive destruction in an area.,,
